avganncount,incidencerate,medincome,popest2015,povertypercent,studypercap,medianage,percentmarried,pctpubliccoveragealone,pctmarriedhouseholds,birthrate
39,440.9,56791,6585,9.6,0,40.8,61.2,10.6,55.22226238,12.76119403
52,411.5,45192,8063,12,0,49.1,59.5,15.1,51.08834827,2.702702703
25,401.5,45771,3689,11.7,0,45.7,59.4,22.2,52.66836086,9.93485342
60,461.2,42745,8543,14.9,0,47.6,61.4,15.8,54.79009688,6.866666667
1163,425.9,52011,306468,14,486.1845282,32.9,47.4,11.7,46.00270254,6.17570233
200,456.8,49770,35656,14.5,28.0457707,40.1,55.2,13.9,50.01332445,5.843469064
192,473.4,51836,35039,13.7,485.1736636,37.5,53.7,14.5,51.68844149,7.123638693
48,448.8,50893,7787,10.4,0,43.8,60.9,12.1,55.93984962,4.215304799
30,444.6,46961,4854,14,0,41.3,53.6,15.8,49.67188289,5.760869565
22,395.7,48535,3595,11.7,0,45.9,57.5,9.9,54.32816537,7.391304348
39,398.7,49162,7046,13.6,567.6979847,39.1,52.2,13.6,52.86757039,8.91959799
32,431.1,43249,4329,13.4,0,49.2,60.7,13.8,53.38491296,7.142857143
85,410.1,51527,15984,10,0,41.8,55.9,11.4,52.75321855,8.147459727
21,425,42977,2659,12.2,0,49.1,62.2,10.6,54.32196669,1.111111111
15,327.2,56080,2944,10.4,0,44.1,65.5,10.3,62.42960579,6.593406593
50,409.2,54137,9296,9.5,0,42,60.3,11.6,57.53755365,2.548476454
41,426.4,53489,7208,10,0,41.3,64.3,11.3,59.31972789,9.160305344
159,424.5,61768,32847,8.4,0,38,57.2,9.9,55.17431337,5.33869116
34,417.6,58162,5202,8,0,45.4,61.8,8.8,60.07342818,7.071713147
66,428.4,43842,10829,11.7,0,41.8,59.4,12.4,55.04192647,2.843394576
58,444,44282,8094,14.4,0,47,59.7,19.4,51.82132412,6.961613533
11,502.1,46051,1381,15,0,52,59.4,11.4,52.60869565,3.361344538
84,529,51805,14282,10.1,0,36.6,52,11.6,53.87931034,3.0621435
611,463.5,74008,175692,5.3,108.1437971,33.7,59.5,8.3,59.17428972,7.30321114
111,428.6,61961,21016,8.2,333.0795584,41.4,60.4,11.5,59.45375543,6.021555764
195,419.7,47194,36261,15.6,386.0897383,38.8,51.8,19.7,48.13283633,6.311958841
2812,472.2,48195,678889,19.9,849.9180278,34.2,40.5,18.5,37.31146697,5.788303646
74,431.5,37417,11660,19.9,0,45.3,56.1,23.9,50.74327039,4.422498927
99,422.5,38595,19182,20.1,0,41,50.1,23.4,51.71965318,6.303030303
273,497.9,45914,51487,14.3,58.26713539,39.9,52.5,20.2,54.88790688,4.968421053
183,408,43425,37893,19.6,0,40.3,51.7,21.9,50.38510482,6.483677849
227,471.4,56573,39165,14.7,0,43.7,56.4,15.6,58.14360771,5.28264626
116,496.6,30299,17917,28.1,0,44.2,53,33,51.01314348,5.124835742
246,465.4,43851,41449,16.5,0,41.5,52.7,20.9,52.9812293,5.292111343
285,460.4,37498,49399,19.5,0,40.4,50.2,22.3,48.65545786,4.845775592
178,469.4,41326,28946,16.9,0,42.9,52.4,20.1,51.85447464,4.447587616
143,496,35704,22846,21.9,0,43.6,57.9,23.8,57.94235925,3.497356649
428,469.7,36740,68580,17.7,0,43.7,53,22,51.19917323,3.90120498
82,460.3,28086,13441,26.1,0,42.6,48.4,33.2,46.88756943,5.094207955
373,489.4,37410,63402,23.4,0,39.9,51.3,24.6,49.59542297,5.325701036
1885,470.9,48380,354098,15.9,553.5190823,39.3,48,17.5,47.00812066,5.342350159
44,483.5,27323,6572,29.5,0,44.2,51.7,31.1,47.56717502,8.014184397
154,480.3,35321,25707,25.3,350.0991948,39.8,41.1,28.9,44.23715234,4.627249357
162,456.8,36285,25756,21.7,0,44.8,51.2,25.8,52.91257218,4.906586148
365,500.6,39506,56471,19.6,0,43.4,52.7,23.8,50.25251435,4.203166439
99,457.4,35470,18023,24.7,0,39.9,43,26.4,42.75114155,4.488542405
155,467.1,39303,28015,19.1,0,40.7,51.5,25.5,50.04163197,4.405016825
223,479.3,37151,32147,20.5,0,44.9,55.2,24,51.26568184,4.382650748
143,509.6,37443,24363,20.2,0,40.7,49.1,25.7,52.0583875,6.558627264
50,457,39753,8149,19.1,122.7144435,43.2,56.7,25,54.88142901,3.771361226
127,527.3,42837,18135,17.6,716.8458781,42.2,54.8,17.8,54.126895,5.078225186
71,449.1,35379,11509,23.4,0,45.8,50.8,32.2,50.34208784,3.981937603
310,484,41235,53240,17.8,0,42.3,53.4,21.1,55.6176635,4.075765263
102,414.7,31330,17830,26.4,0,44.5,53.3,26.1,55.01498074,5.253623188
2294,484.4,47199,451324,17.7,276.9628914,37.3,49,16.4,46.71082117,4.759828048
36,413.7,28524,7576,41.9,0,40.3,32.9,36.7,43.73804971,4.662698413
141,484.4,33595,26936,24.8,0,37.1,41,29.6,41.51020408,5.484147386
224,438.8,34614,42564,21.8,0,39.9,55.2,20.7,54.03626428,7.666385847
82,538.7,36255,11854,20.3,0,43.5,57.3,23.6,54.15959253,4.558176729
183,421.9,41802,33743,16.5,0,42.9,51.9,20.8,49.4429786,6.664803689
344,467.4,53945,51130,13.6,0,46.5,61.4,21.4,61.11249938,4.243210863
304,447.5,39528,52639,17.4,0,42.7,52.1,21.5,53.20852938,4.451140766
148,433.7,34882,26066,23.5,0,42.6,53,27.4,51.1041329,3.799063738
135,531.4,36886,23177,19.3,43.14622255,39.6,56.5,22.3,54.11020777,4.994346023
468,434,43113,97610,20.9,133.1830755,37.6,45.8,22.6,46.36348801,5.831783426
187,521.2,40766,28487,20.6,0,43.1,53.9,20.9,52.13882863,2.19816273
168,490.5,42839,31552,15.5,0,39.4,53.2,18.3,52.44819519,3.440273038
411,450.4,51303,87757,15.5,22.79020477,38.6,50.8,20.6,50.00462036,5.317306713
71,461.4,34801,11830,20.8,0,44.3,55.7,23.7,54.91341991,5.090180361
276,482.9,37392,45771,20.6,21.84789496,43,60.4,23.7,59.51840865,6.564217382
592,446.6,50935,193479,13.9,0,30.3,54.2,14.9,53.62200682,6.724977636
36,408.9,50358,6322,12.5,0,45.5,57.4,12.5,60.35044825,0.702028081
126,488.7,36390,21498,23.4,0,40.8,51.7,24.3,57.421981,3.724928367
189,455.6,40683,30639,20.8,0,42.1,52.1,21.6,50.49348599,4.063986165
137,470.1,35884,22129,18.9,0,42.2,61.3,24.1,59.12515462,3.83125269
52,492.4,33776,7929,23.6,0,43.7,52.3,23.9,49.0700558,9.322033898
38,483.4,31996,5146,19.2,0,49.4,66.7,21.8,63.15789474,8.686210641
108,480.2,36643,16773,20.3,0,44,56.9,24,54.92957746,1.62069946
362,442.4,37693,74553,20.8,134.1327646,36.1,48.3,21.1,46.05161334,3.640481715
206,532.5,37952,32526,22,0,40.5,50.9,25.6,49.14308489,6.638495093
379,492.7,43269,52753,18,0,46.1,54.7,21.9,52.77562023,3.126436782
343,496.6,52640,68570,13.4,14.58363716,38.6,57,17,57.6884055,5.976467659
970,450.4,53799,298612,14.7,26.79061793,32.9,51,13.7,53.0572913,4.947730667
134,535.4,31397,21950,24.5,0,38.6,50.2,30.3,49.54868215,5.677867903
81,465.4,44111,14811,18.7,0,41.9,56.2,22.1,54.94211932,3.240589198
549,493.9,39905,95946,17.7,10.42252934,42.2,54.1,21.2,52.99180216,6.406013616
4118,461.5,44015,938069,23,393.3612559,34.9,38.7,21.2,37.74393475,6.405574323
106,486.5,43659,19295,15,0,41.6,59.1,22.4,57.31479005,3.646563815
88,514.7,41590,13259,17.5,301.6818765,43.2,57.4,18.9,57.02592087,2.998236332
1019,472.8,38840,156791,18.5,344.4075234,44.3,53.9,20.3,50.28831243,4.794040316
828,470.6,58291,175989,11.3,102.2791197,39.4,55.6,17.5,56.95154185,5.056955471
298,484.6,52339,61870,15.4,32.32584451,37,51.9,18.9,54.51216686,6.760732914
42,462.6,40251,8042,17.5,0,40.2,49.2,23.6,52.050581,9.777777778
117,444.8,37632,17860,20.1,0,45.7,52.8,24.4,50.29617663,6.395035078
117,526.2,37453,19119,22.6,0,41,55.8,27.9,54.80690222,3.464419476
36,468.4,34884,5677,20.6,0,45.8,51.8,24.1,56.03038936,4.545454545
215,453.3,36942,40435,19,0,39.7,50.2,27,47.4107656,6.99356005
663,451.1,43212,126302,16.7,47.50518598,39.8,50.8,17,47.87605912,4.081698817
93,434.8,33573,16748,23.3,0,42.2,49.9,27,55.28741411,6.408629442
182,443.1,36205,33960,21.5,0,36.9,49,17.8,49.54671736,5.005740528
158,459.9,35400,26521,21.9,0,42.5,53.9,23.8,55.07142123,5.225066196
788,443.4,97936,211672,5.6,118.1072603,38.9,66,7.4,69.98906129,4.474464442
573,463.3,60955,128911,10.1,23.27186974,40.1,56.6,14.5,58.3677686,4.280356467
248,394.3,42471,57580,20.4,0,38.9,44.5,19,52.91270837,7.105682422
57,401.3,66878,18105,10.7,0,31.3,58.1,14.6,62.7100073,10.78180889
474,499.2,42128,88255,17.9,11.33080279,36.4,50,22.2,51.11663342,5.728131815
165,433.4,44551,25350,17.5,0,49,55,22.9,55.79425738,8.072153326
33,289.2,58867,8715,9.4,0,44.1,62,12.5,65.25373134,3.583061889
12,435.7,55177,1947,11,0,45.1,61.1,11.7,67.92717087,2.949061662
186,387.6,52785,48435,16.9,454.2169918,35.5,52.1,20.5,53.23829981,5.556068297
140,398.2,58792,29563,11.2,0,40.6,59.6,14.2,58.69722776,4.630829016
26,334.4,36821,7210,19.9,0,34.9,57.9,21.6,58.23578595,2.595628415
122,388.9,50107,21269,13.5,0,51.5,57.5,15.3,56.63289918,6.419479801
326,415.6,52886,80527,14.7,0,38.7,52.8,16.2,55.77512375,4.583083383
27,458.2,36027,3618,18.3,0,48.5,56.5,13.3,48.63609983,6.068601583
102,341,40680,32874,24.9,0,35.3,39.9,23.1,47.26089934,8.618283322
1184,475.2,51048,334941,14.2,8.956801347,30.2,52.8,13.7,52.53632424,5.835105126
6298,399.2,50699,1897753,18.3,286.6547965,33.1,45,18.3,45.72944794,5.991129949
53,372.8,57177,11004,12,0,48.6,61.9,12.7,60.61479347,3.865213082
107,393.2,44397,17891,15,0,46,57.8,16.9,57.03671953,3.008595989
455,427.6,41883,93389,20.1,0,37.7,46.6,19.6,47.41046585,7.433542774
1217,429.3,73788,346312,9.9,2.88756959,35.5,54.5,12.5,56.55408408,6.533051164
545,424.7,41641,215037,26.4,51.15398745,25.2,37.4,11.2,39.40534539,4.690848607
45,387.7,40179,9145,13.8,0,42.1,45.9,13,40.9689441,1.812688822
35,408,27875,7230,32.4,0,31.7,32.8,29.9,41.77884615,6.831489915
210,427.7,41316,37896,17.5,0,41,52.5,19.3,53.83226777,2.5472273
98,508,33134,13786,27.4,0,42.3,43.4,24.3,40.16167871,7.939133311
583,490.9,51138,125175,14.3,191.7315758,34.7,49,16.6,47.02387268,5.823193854
1401,492.8,39812,251460,24.1,365.863358,36.6,39.3,24,37.397312,5.272379222
1006,490.4,45979,198788,18.4,5.030484738,36.1,47.3,19.6,46.04447395,6.064227035
57,467.6,36350,9993,23.3,0,39.9,46.4,23.2,46.0656592,2.079107505
39,509.4,59300,6817,12.2,0,42.6,64.9,13.5,65.56748466,7.70252324
63,504.4,34116,10147,23.3,0,38.5,48.2,20.1,50.90715048,2.469135802
102,473.5,35385,16295,28.2,0,42.2,37,27.2,39.73000684,8.809020437
116,480.4,31835,20142,30.9,0,38.3,42.8,18.7,41.18541033,2.773207991
161,503.8,40642,27052,23.5,258.7609049,39.8,46.4,22.5,45.38266302,5.389797883
2082,487.1,46831,446753,18.4,346.947866,33.2,39,19,38.79198202,4.474235159
41,512.7,25402,7307,43,0,33.3,28.1,36.3,28.8648245,4.305555556
135,570.8,41651,19696,20.4,0,41.8,42.5,23.5,46.95113161,4.203655352
169,459.2,32615,33743,24.1,0,35.8,43.7,31.2,45.14806759,8.601712189
124,479.6,32318,20410,29,0,37.9,42.8,26.2,42.81697684,5.698070375
111,482.7,40668,22343,22.8,0,37.6,46.2,24.4,50.20147284,3.728510828
394,515.4,45226,74103,19.4,0,35.8,46,23,46.37692162,6.645642202
211,586.2,47377,33095,19.9,0,38.4,39.7,21.3,41.8193191,4.869631902
105,518.6,37130,15858,24.6,0,39.6,46.1,26.1,46.82013912,4.002444241
2350,473.9,47024,436275,15.8,430.9208641,38.7,43.1,22.1,41.56296102,5.165714506
179,499.6,37968,31439,21.7,0,38.4,46.6,25.3,45.89769997,7.155147691
1015,487.3,51340,240098,15.1,79.13435347,34,44.6,15.6,43.47659981,5.986172971
478,467.5,47382,98325,17.6,20.34070684,36.6,49.4,19.4,51.08732299,4.817078346
81,464.8,44139,14974,18,0,38.6,52.3,18.1,53.6840209,5.144490314
188,436.3,32889,47774,29.7,0,27.4,35,17.9,37.25318889,4.279213153
594,494.6,58818,137788,12.3,0,35.3,52.2,18.8,54.24088389,5.711293942
47,379,26732,11514,41.4,0,34.6,34.6,24,34.2364532,4.463336876
155,457.3,30636,26395,29.4,37.88596325,39.3,42.9,30.3,42.03120513,4.979184013
189,447.2,34522,39179,31.1,0,33.8,40.6,26.1,40.46070836,3.688606085
1619,466,35468,389617,27.9,523.5911164,35.4,30,25.8,26.74611467,5.131693567
760,480.9,40877,156761,23.6,140.3410287,34.7,41.9,22.5,41.69526781,6.070254725
106,458.7,51304,23495,16,0,36.5,52.2,18.4,51.06802879,6.549831829
146,507.4,44469,22251,18.3,44.94180037,42.6,45.3,21.7,45.65665826,4.275724276
707,484.9,40406,132141,19.8,75.67673924,37.4,44.2,22.6,44.89449176,4.202589635
46,431.7,33322,8593,25.3,0,39.8,44.2,26,41.70064065,10.40892193
110,456.4,36666,20523,24.9,0,38,49.5,20.9,49.86218664,3.43803056
157,500.4,39561,24186,21.2,82.69246672,41.5,51.8,20.3,50.00545197,6.366608963
168,516.9,45615,45408,17.9,0,33,43,20,44.73014782,5.677721702
238,470.8,60751,52812,12.1,37.87018102,37.2,48.7,18.6,50.8948485,6.11124004
61,461.5,35004,10567,24,0,39.2,42.3,26.8,42.29000242,3.087986464
120,497.4,47477,21567,16.1,0,38.8,46.7,19,47.51381215,4.363776791
209,460.8,47225,43626,20.8,0,36,44.7,24.5,47.21497522,4.727439304
497,530.4,32683,83848,30.1,0,36.6,43.1,24.7,42.65554216,6.971510409
272,499.7,46713,53835,18,0,36.7,49.5,21.3,50.31750197,6.463878327
282,474,42075,52810,21.8,0,37.7,43,25.3,41.74704724,6.284065406
1273,494.5,63441,250088,11.2,115.9591824,39.8,54.3,18.1,55.78754661,5.430602081
599,489.9,39927,128755,22.5,62.13350938,412.8,44.4,23.6,45.4565442,3.432793045
27,389,27522,4740,32,0,43,33.8,23.1,31.95822454,2.925809822
549,493.1,49044,113972,20.9,96.51493349,35.2,47.7,20.1,47.74235394,5.230870955
134,463.9,38998,22477,22,0,41.7,50.1,24.5,50.46377833,4.316239316
328,529.1,45331,59875,18.3,0,36.7,48.5,21.8,48.38043678,5.605176173
207,478.1,46682,50803,13.9,0,30,55,15.8,55.90180473,7.229203118
296,536.6,29749,46371,29.1,0,39.2,46.8,29,45.29652352,6.368497812
256,485.3,36003,40021,22.2,0,40.9,44,25.1,42.25182366,6.027155315
126,526.7,51550,25490,20.5,0,35.4,47.1,17.1,47.02037259,5.538105472
65,443.2,33959,11293,22.5,0,39.7,46.6,16.2,46.08938547,5.737356566
73,429,53679,15385,24,0,40.4,36.1,18,54.43620557,6.799830004
96,524.4,36644,14568,26.8,0,41.3,46.9,22.2,49.35606748,4.891661195
600,478.2,46701,107233,15.4,83.92938741,40.6,49,20.8,46.16229053,5.235413921
486,472.8,36066,68628,20.1,14.571312,46.6,54.1,24.2,50.4167353,5.029215359
1620,479.6,61436,289977,10.8,500.0396583,41.9,49.4,14.6,47.825159,3.772833827
177,435.2,41035,29991,15.8,0,44.9,51.3,21.1,52.41955916,3.482221569
383,491.9,45807,54659,12.9,18.29524872,47.4,54.1,18.1,49.67789586,5.103569855
741,478.4,45556,119980,13.8,300.0500083,44,49.6,18.9,47.20175728,4.823685961
284,484.9,50002,39855,13.9,501.8190942,47.2,51.5,18.6,48.88522854,4.550819672
236,436.6,47905,33969,11.7,58.87721158,49.8,53.5,18.2,50.57139016,5.786534285
371,477.6,40120,57202,16.1,0,45.7,48.1,23.8,49.89663252,4.600845561
929,507.3,42728,152692,18,438.7918162,41.3,48,20.7,48.02575315,4.133114215
128,478.1,36994,16931,20.3,0,49.8,52.8,25.8,48.82454509,6.290471785
208,451.7,55630,35149,10.5,56.90062306,45.2,54.2,19,49.67867575,5.263857504
313,458.3,39001,51113,17.3,0,44.9,51.2,25.4,48.88990826,4.712136228
250,484,46598,39155,15,0,45,53.7,21.5,50.29606821,4.975063861
242,501.5,38057,31625,18.5,0,46.8,51,29.4,46.79255959,5.793688177
1246,497.7,55482,201169,11.2,159.0702345,44.1,52.6,15.7,51.22310568,5.050755137
517,519.3,39808,72528,18.5,261.9677917,41.5,44.2,22.9,45.91512498,4.613602728
2676,468.1,86654,564195,6.7,69.12503656,38.4,51.7,10.9,53.20651532,5.291115354
4499,472.3,67766,831128,9.8,216.5731392,39.1,46.2,15.1,45.91882391,5.073719664
406,444.5,92446,90595,7.2,0,40.6,52.7,11,57.54132563,3.454078056
174,465.1,49573,32579,16,0,40.1,50.2,25,51.23322148,5.404323459
862,456.2,84500,167627,5.9,89.48439094,42.2,56.7,9.8,61.33424438,4.31864301
522,484.3,62198,102382,10.6,419.9957024,40.1,52.5,17.5,54.36451753,4.297102051
572,420.5,86703,156118,7.2,0,37.7,50,11.3,52.66592692,4.693221178
210,481.6,42279,32384,17.5,0,43.8,47.9,27,44.47794949,5.456570156
1037,435.9,83698,245322,6.5,114.1357074,39.1,54.7,10.4,56.5676769,4.557287265
166,417.1,47441,29460,12.4,0,44.5,56.5,23.2,57.15249094,6.553245117
1302,485.5,79403,250290,8,79.90730752,40.1,54.7,11.9,56.59293338,6.156408818
1186,418.1,106871,313414,6.1,165.9147326,38.8,58,8.2,60.23950993,5.158672656
140,461.7,53288,19787,13.8,0,46.2,47,22,48.49160546,4.528650647
4139,392.9,97279,1040116,7.2,184.5947952,38.5,53.2,11.5,53.70241078,5.281994667
3222,401.9,71904,909535,10.3,21.98925825,35.8,38.5,16.3,39.11619384,5.044283329
254,429.6,80650,48904,7.5,0,43.5,57.4,13.5,62.34448122,5.627462015
433,423.2,84686,111413,8.6,17.95122652,36.3,53.9,12.3,57.53732709,5.419453329
151,511.9,38376,25768,25.5,0,37,32.3,30.8,37.85330948,5.312389693
280,454.6,54836,37512,11.7,213.2650885,49,54,16.2,50.68079601,3.328451604
782,457,54606,149585,13.8,73.53678511,40.4,49.4,20.5,49.83858598,5.93936457
564,532.1,51927,102370,16.9,224.6751978,35.5,44.7,21.3,47.13293141,5.35618844
413,499.8,55691,51540,11.9,0,49.1,50.7,21.1,50.84003273,5.625635809
3144,497.2,41895,621849,23.3,886.0671964,34.6,26.6,29.6,24.02463388,5.449538255
1892,505,64150,214333,8.9,41.99073404,51.3,53.2,18.9,49.56310834,3.521180903
860,464.3,49890,127828,13,125.1681948,45.8,45.6,22.6,43.45582911,4.573604784
53,430.5,53244,11721,14,0,34.8,50,17.1,50.42492918,7.0703125
192,424.8,55139,34765,15,0,42,48.3,16.4,52.59370817,5.054495913
595,332.2,37935,269721,32.3,44.49041788,28.3,46.6,28.6,52.84922777,6.921416298
202,424.5,44110,41486,16.8,0,37.3,49.5,21.9,47.5137372,5.69874932
32,434.9,52548,5657,12,0,39,63.9,13,57.8281727,7.705934455
554,403.5,43379,131705,19.3,83.51998785,34,45,17.3,45.97943305,6.108318631
78,480.2,39377,13027,15.8,0,37.6,48.8,18.5,45.51036071,6.288032454
73,345.6,29782,21903,38.8,0,32.3,44.3,34.1,52.81829642,4.799131379
176,368.3,62752,47520,11,0,40.4,56,12,61.43309427,5.291214215
28,383,55493,8005,13.5,124.9219238,33,55.5,13.8,55.2130898,7.146724418
248,389.3,59904,62953,10,0,39.3,57.1,16,61.67647617,7.013024188
283,417,42753,43356,15.4,0,48.2,55.4,17.3,57.30826693,6.943899568
31,412.1,60738,8546,11.4,0,34.1,62.2,16.6,61.86285295,5.57582074
106,428,41872,18270,16.4,0,41.9,58.1,17.2,58.00421644,6.038978864
41,340.9,33291,14374,32.6,0,29.2,52.3,29.1,54.54947974,9.67556704
37,321,26336,12235,31,163.4654679,30.5,40.2,35.5,42.01819686,4.962779156
27,421.4,50818,6354,9.8,0,33,60.8,8.2,59.8932859,12.66766021
171,377.6,56313,52097,11.6,0,32,63.7,10.5,68.57473787,8.779499824
295,376.1,51735,120783,14.2,157.3069058,25,56.1,10.8,64.39400308,7.221172023
102,433.1,47340,20479,15.7,0,35.1,54.3,14.4,52.6801744,8.165882856
1009,428.8,70797,336043,7.2,5.951619287,30.2,61.4,9,68.10336023,7.253229221
73,448.1,61976,20862,11.6,0,30.2,65,9.4,65.75840145,10.01338091
37,339,49709,10370,12.9,0,34.5,61.9,12.5,67.06315491,7.28003573
26,399,45666,5009,12.2,0,39.6,59.9,11.6,58.65219874,3.098290598
44,404.1,43344,9516,15,0,39.1,46.3,14.4,43.99577725,2.808716707
156,418,43615,48368,22.1,310.122395,28.1,54.2,15.6,58.66180855,9.572250479
34,392.3,55204,10594,11.4,0,30,59.4,13,67.64327109,6.440382942
39,398.9,48456,7131,11.8,0,43.6,55.9,13.5,51.45213338,4.954367666
49,361.5,52623,12645,12.9,0,34.9,62.7,15.2,65.40865385,8.884297521
33,380.5,82597,11065,4.6,0,32.3,69.2,8.5,78.07539683,6.102877071
9,347.2,56772,2311,10.3,3894.418001,34.7,62.4,17.4,70.78125,7.99086758
3540,417.3,62536,1107314,11.9,345.8820172,31.8,52.1,11,54.8037466,6.633919132
35,261.1,40590,15772,29.2,0,30.6,44.4,25.1,54.065766,4.937906564
97,383.8,44644,28778,17.1,0,30.5,54,12.9,67.19123757,5.587610082
93,417.4,48622,20984,12.1,0,34.1,59.6,14.8,62.82269504,9.947524527
142,432.7,92560,39633,6.8,25.231499,38.2,63.2,6.8,63.7754003,4.14207772
208,489.9,64193,62952,8.1,0,30.7,59.4,8,64.90258172,6.916426513
97,365.5,65489,37928,9.6,0,29.7,57.2,10.2,60.49540115,9.686539644
1251,394.9,60957,575205,12.6,62.58638225,24.4,58.8,9.2,71.12700722,8.614426925
81,432.5,65207,29161,7.1,205.7542608,33,59.1,9.3,64.6571958,3.613892365
672,408.4,50169,155602,12.9,141.3863575,34.6,59.4,17,63.41986917,6.593968853
12,366.9,42366,2692,14.1,0,40.3,67.3,9.7,66.35802469,11.13360324
858,417.9,59293,243645,12.3,221.6339346,31.8,54.5,11.9,56.7665373,7.55683473
192,436.9,59089,37035,9.5,0,42.8,50.3,22.8,53.44587054,4.669664476
261,488,44674,36317,14.4,55.07062808,46.1,51.3,28,49.07904835,3.885024281
188,476.2,45029,30780,13.9,259.9090318,43.1,49.5,29,48.8646537,3.307540586
737,463.7,61908,161382,11,632.040748,36.3,46,15.6,46.86919273,4.180500351
48,492.7,35570,6163,19.6,0,48.8,53.9,29.2,49.83339504,4.942339374
232,450.4,59184,48799,9.1,0,39.9,53.4,23.2,53.47605031,4.602473498
48,548.5,60081,6861,9.1,0,47.1,59.8,22.9,58.04384486,3.969883641
128,461.6,49142,25235,12.6,118.8825045,40.5,49.1,23.8,47.77908805,3.897685749
174,479.7,53025,28899,12.8,34.60327347,45,54.4,23.3,51.98386566,4.652301665
161,438.8,42089,27100,16.2,0,44.8,51.6,32.5,49.33928571,4.689807976
393,476,44888,59736,13.5,100.4419446,45.5,49.4,24.2,47.86519502,4.093296262
343,467.3,58673,58612,11,443.5951682,43.2,49.5,20.4,48.4375,2.874885005
274,463.3,49616,43386,12.9,0,45.8,50.7,26.7,47.13228735,3.546703589
369,461.9,51513,55737,12.1,53.82421013,46.8,53.4,22.4,49.80617783,4.807193498
221,479.4,38390,32973,19.4,0,45.3,52.6,18.4,47.46794642,4.349749336
425,372.9,67083,105703,9.1,113.5256331,38.6,51,8.9,52.90453762,5.043113678
98,401.8,45454,15677,15.8,255.1508579,47.2,54.2,18.9,51.39359976,8.070065687
84,522.5,51738,12903,12.9,0,45.8,57.5,15.2,61.56462585,6.59515296
181,427.4,43998,31914,13.7,0,43.6,50.1,18,50.96784514,5.278870946
86,432.6,44397,15414,15.1,0,42.3,54.3,18.7,54.81369078,4.406073236
657,369.7,107143,229164,8.5,30.54580999,33.9,42.9,4.2,37.6164403,5.34181797
391,408.9,57808,74314,9.8,26.91282935,44.2,57.3,13.1,59.29662522,5.594450511
31,419.3,43852,4470,11.5,0,48.3,55.1,9.8,47.34389562,8.043694141
44,472.2,42624,6561,14.1,0,44.8,53.5,16.5,53.59602142,5.213270142
180,401.6,63646,33347,7.8,0,46.4,61.4,11,63.82715093,3.635817308
104,463.4,37344,16698,21.9,0,41.7,38.6,22.5,43.12035159,4.689366786
105,325.8,32083,22776,23.2,0,45.5,51.6,33,51.54628257,6.462372316
82,390.1,38731,17032,22.8,0,42.2,43.5,20.2,50.72282706,3.636938646
267,384.7,46663,55086,14.5,0,42.4,54.6,15.5,54.12785095,4.696595168
163,503.8,56099,29984,11,0,39.1,51.7,16.4,51.58614403,4.384535624
168,390.6,38474,29724,17,0,46.1,56.5,19.4,53.30729997,5.65626049
50,492.6,49768,7040,13.1,0,48.6,44.7,18.4,45.2306625,4.814305365
76,434.4,36339,12201,20.7,0,44.6,44.5,22.7,46.15710354,2.903225806
1557,497,72972,335687,8.3,74.47413811,38.2,52.6,10,55.39611463,4.829985959
77,417.9,70281,14363,8.2,0,45.7,50.7,9.9,50.21715527,6.678141136
29,389.7,46551,5211,12.4,4221.838419,47.1,57.3,19.8,50.81300813,6.776556777
209,421.6,62394,49432,11,20.22981065,38.9,55.9,13.2,58.08658795,4.025191676
56,436.4,41409,9719,19,0,44.3,45.8,21.5,44.61615155,7.259953162
74,356.4,32103,15115,21.3,0,43.4,55.5,27.3,53.65028203,6.491885144
138,414.5,52288,27852,12.1,0,42.4,45.1,15.2,49.82392595,5.697445973
66,433.5,48277,11130,14.5,0,44.8,45.4,17.2,46.16805171,1.972920696
3959,381.8,110507,1142234,6.7,153.208537,37.4,56,6.6,58.25617107,5.344658861
272,369.4,89106,68782,7.4,43.61606234,41.5,57.5,9.3,62.43695698,5.083533771
78,372.4,43355,15651,14.1,2875.215641,45.2,58.9,16.4,59.06553979,4.274857505
136,435.3,64258,26235,7.9,0,41.6,58.6,10.6,60.1961379,5.34985643
316,422.8,47419,56264,16.3,0,45,58.4,17.2,57.66095994,5.965766068
389,456.6,65485,83199,7.7,0,40.1,57.4,11.3,60.09506026,5.175688509
94,403.8,45979,16708,13.5,598.5156811,43.9,50.7,13.3,48.40940526,8.255410099
224,491.8,58900,37143,9.7,26.92297337,43.6,57.9,9.7,58.1022409,4.308202154
138,486.9,86610,22253,7.5,0,47.2,62.8,11.1,67.68532155,2.75862069
84,355.3,31893,16012,19.9,0,47.6,55.2,26.7,49.24208977,6.072477963
85,404,61762,19162,9.6,0,481.2,59.8,13.8,58.64154127,3.450671607
69,492.2,36459,11885,25.1,0,42.9,38.4,20.2,47.70510614,1.886792453
211,412.7,39079,35125,18,28.46975089,45.3,47.8,21.8,46.83916084,5.521048999
568,496.6,81940,103227,6.1,106.5612679,41.9,58.9,8.6,61.85836692,4.125165648
1459,444.7,62446,325155,11,153.772816,37.9,46.9,12,44.87314289,5.200247219
479,409.3,44490,150965,24.9,0,31.4,44.3,25.7,50.93372479,6.638754179
416,460.1,36333,64591,24.3,0,45.5,45.4,28.4,40.38824881,6.718511986
123,365.7,49995,31345,19.4,0,37,43.5,20.3,51.50922015,7.549668874
